Time(s),Velocity(m/s) A8 azd,metric A8 azd,E A8 azd,N A8 azd,U A8 azd,Velocity(m/s) Tesla azd,metric Tesla azd,E Tesla azd,N Tesla azd,U Tesla azd,Velocity(m/s) BMW azd,metric BMW azd,E BMW azd,N BMW azd,U BMW azd,Velocity(m/s) A6 azd,metric A6 azd,E A6 azd,N A6 azd,U A6 azd,Velocity(m/s) Mercedes azd,metric Mercedes azd,E Mercedes azd,N Mercedes azd,U Mercedes azd
47859.2,16.36363636,0.1,128.0314204,711.0063809,-0.20624324100000002,16.39909091,0.1,151.2775179,675.0121427,-0.16839714100000003,17.26181818,0.1,176.5456743,637.6090449,-0.13455958699999998,16.78090909,0.1,203.5094378,597.0497536,-0.103992746,17.25,0.1,221.3208313,570.5954371,-0.076953708
47859.3,16.36222222,0.1,127.12281259999999,712.369063,-0.207531473,16.40222222,0.1,150.36204469999998,676.3705892,-0.16962705399999997,17.25444445,0.1,175.58949750000002,639.0456255,-0.135930246,16.78,0.1,202.57725990000003,598.4445356000001,-0.105329805,17.24222222,0.1,220.3680895,572.0321535,-0.078175076
47859.4,16.36454545,0.1,126.2147342,713.7320489,-0.208800953,16.40909091,0.1,149.44630780000003,677.7302059,-0.17089047300000001,17.23909091,0.1,174.63298490000003,640.4802827000001,-0.137277721,16.77909091,0.1,201.64549119999998,599.8391717000001,-0.106694278,17.23272727,0.1,219.4153244,573.4678687999999,-0.079435075
47859.5,16.36666667,0.1,125.30665649999999,715.0954401,-0.210017128,16.41555556,0.1,148.5303251,679.0899015,-0.172157489,17.22111111,0.1,173.6759144,641.9131739000001,-0.13859179900000002,16.78111111,0.1,200.714402,601.2346067000001,-0.108058229,17.22333333,0.1,218.4621755,574.9022794,-0.08070634
47859.6,16.36454545,0.1,124.39891580000001,716.4589328,-0.21118437899999998,16.41727273,0.1,147.6142349,680.4500924,-0.173404702,17.19363637,0.1,172.7188386,643.3427128,-0.13993174,16.78545455,0.1,199.7836019,602.6309195,-0.109389924,17.21636364,0.1,217.5084686,576.3355427,-0.081971776
47859.7,16.36333333,0.1,123.4912298,717.821942,-0.212353231,16.42333333,0.1,146.69821140000002,681.8109472,-0.174650998,17.15777778,0.1,171.7629293,644.7690907000001,-0.141271507,16.78888889,0.1,198.8531989,604.027525,-0.110676259,17.21,0.1,216.55447999999998,577.7677037000001,-0.083244794
47859.8,16.36090909,0.1,122.5845598,719.1854126000001,-0.213544082,16.43090909,0.1,145.782597,683.172916,-0.175909832,17.12272727,0.1,170.8081564,646.1922852000001,-0.14259434099999999,16.78909091,0.1,197.9233374,605.4253008,-0.11192103099999999,17.20363636,0.1,215.60047999999998,579.19937,-0.08453374599999999
47859.9,16.35888889,0.1,121.6778544,720.5485683999999,-0.214743427,16.43,0.1,144.8666948,684.5357062,-0.17718345100000002,17.08888889,0.1,169.85470619999998,647.6121387999999,-0.143932491,16.79,0.1,196.99404719999998,606.8234143,-0.11314707800000001,17.2,0.1,214.6462585,580.6300352000001,-0.08585074
47860.0,16.36,0.1,120.77096329999999,721.9110832,-0.215954575,16.43909091,0.1,143.9510696,685.8985754,-0.17844869100000002,17.05454546,0.1,168.9031554,649.0292027,-0.14524654,16.78454545,0.1,196.0652384,608.2215054999999,-0.11437164,17.19090909,0.1,213.692224,582.0600595,-0.087159156
47860.1,16.35555556,0.1,119.8653406,723.2744532,-0.217168202,16.44888889,0.1,143.03544509999998,687.261951,-0.179750723,17.02,0.1,167.95322769999999,650.443432,-0.146563265,16.78222222,0.1,195.1366165,609.6197995,-0.115590673,17.18333333,0.1,212.737379,583.4890264,-0.08845821300000001
